3 ,9A 14A 21A ,0 1 1 
1 ,9H 11A 2A ,1 0 1 
1 ,10A 3A 6A ,0 1 1 
1 ,12A 8S 5A ,0 1 1 
2 ,7A 10S 8A ,0 1 1 
3 ,13C 12C 3C ,1 0 1 
3 ,14C 2C 4C ,1 0 1 
3 ,14H 12H 1H ,1 0 1 
2 ,1C 6C 11C ,1 0 1 
3 ,13D 2D 12D ,1 1 0 
3 ,13S 6S 12S ,1 1 0 
3 ,14S 10S 1S ,1 1 0 
1 ,1D 5D 1A ,1 1 0 
1 ,13H 10H 2H ,0 1 1 
2 ,9C 7A 5C ,0 1 1 
1 ,3D 7D 6A ,1 1 0 
2 ,4S 2S 10A ,0 1 1 
3 ,7C 0A 20A ,1 0 1 
1 ,4D 8D 4A ,1 1 0 
2 ,8S 3S 16A ,0 1 1 
2 ,4H 3H 17A ,1 0 1 
0 ,6D 11D 21A ,1 1 0 
2 ,5H 5A 7H ,0 1 1 
2 ,10D 19A 14A ,1 1 0 
2 ,9H 6H 3A ,1 0 1 
2 ,5S 18A 11A ,1 1 0 
2 ,12A 8A 7S ,1 0 1 
2 ,13A 8H 9S ,1 0 1 
2 ,15A 11H 11S ,1 0 1 
3 ,12D 11D 14D ,1 0 1 
0 ,12C 6C 13C ,1 1 0 
1 ,14C 1C 7C ,0 1 1 
0 ,14S 13S 12S ,0 1 1 
2 ,4C 2C 16A ,0 1 1 
2 ,13D 4D 5D ,1 0 1 
3 ,14H 1H 12H ,1 0 1 
2 ,1D 6D 13A ,1 0 1 
2 ,9C 20A 5C ,1 1 0 
2 ,3D 7D 6A ,1 0 1 
2 ,10C 11A 8C ,1 1 0 
3 ,9D 0A 19A ,1 0 1 
1 ,1S 2S 9S ,1 1 0 
2 ,3H 7H 2H ,0 1 1 
1 ,3S 8S 11S ,1 1 0 
2 ,5H 8H 4H ,0 1 1 
1 ,5S 10S 17A ,1 1 0 
2 ,6H 4A 10H ,0 1 1 
1 ,6S 8A 14A ,1 1 0 
2 ,9H 10A 11H ,0 1 1 
2 ,7S 18A 15A ,1 1 0 
3 ,12A 3A 21A ,1 0 1 
3 ,9A 7A 1A ,1 1 0 
2 ,2A 5A 11C ,1 1 0 
0 ,14C 2C 12C ,0 1 1 
0 ,13D 12D 4D ,0 1 1 
1 ,12H 1H 4H ,0 1 1 
1 ,14H 6H 7H ,0 1 1 
2 ,1C 3C 4C ,0 1 1 
3 ,13C 11C 5C ,1 0 1 
3 ,12S 1S 14S ,1 0 1 
3 ,14D 6D 2D ,1 1 0 
1 ,6C 7C 8C ,1 1 0 
2 ,3D 1D 19A ,0 1 1 
2 ,13S 5S 10S ,1 0 1 
1 ,9C 20A 10C ,1 0 1 
2 ,7D 5D 16A ,0 1 1 
2 ,2S 8S 12A ,1 0 1 
2 ,8D 9A 9D ,1 1 0 
2 ,3S 9S 17A ,1 0 1 
1 ,10D 2A 4A ,1 1 0 
2 ,3H 8H 6A ,0 1 1 
1 ,4S 15A 14A ,1 0 1 
2 ,9H 10H 7A ,0 1 1 
1 ,6S 10A 3A ,1 0 1 
3 ,18A 8A 21A ,0 1 1 
1 ,7S 11A 1A ,1 0 1 
1 ,13A 11D 11S ,0 1 1 
0 ,13D 12D 14D ,1 1 0 
0 ,13C 3C 12C ,0 1 1 
3 ,12H 3H 14H ,0 1 1 
3 ,13S 6S 12S ,1 0 1 
3 ,14S 7S 5S ,1 0 1 
2 ,4C 2C 5C ,1 0 1 
2 ,1D 9D 3D ,1 1 0 
2 ,9C 7C 18A ,1 0 1 
2 ,2D 13A 6D ,1 1 0 
2 ,1S 8S 10S ,1 0 1 
3 ,5D 12A 0A ,1 1 0 
2 ,2S 9S 9A ,1 0 1 
1 ,7D 15A 16A ,1 1 0 
1 ,13H 4H 2H ,0 1 1 
2 ,10C 5A 7A ,0 1 1 
2 ,3S 11A 14A ,1 0 1 
3 ,8D 21A 20A ,1 1 0 
1 ,4S 19A 8A ,1 0 1 
2 ,1H 3A 6H ,0 1 1 
2 ,10D 17A 4A ,1 1 0 
2 ,7H 5H 2A ,1 0 1 
2 ,11D 10A 10H ,1 1 0 
3 ,9H 8H 1A ,1 0 1 
2 ,6A 11S 11H ,1 1 0 
